chr,start,end,TSS,WGS_GC_bias,bps,bps_WGS_corrected
chr1,1914609,1914778,chr1_1_00106,2.585402245668136,169,65.36700441223836
chr1,1915194,1915353,chr1_1_00106,2.3581976832616216,159,67.42437291350707
chr1,1915590,1915761,chr1_1_00106,2.5814983348565272,171,66.2406005423605
chr1,1918998,1919161,chr1_0_00107,1.5100944728567256,163,107.9402666057338
chr1,2004449,2004605,chr1_0_00108,1.360096366926594,156,114.69775509548104
chr1,2050965,2051120,chr1_0_00110,1.852454025534021,105,56.68156863959464
chr1,2050965,2051120,chr1_1_00111,1.852454025534021,155,83.67279180130636
chr1,2073087,2073258,chr1_1_00112,2.562755089868269,171,66.72506501929912
chr1,2073087,2073258,chr1_1_00113,2.562755089868269,171,66.72506501929912
chr1,2073332,2073495,chr1_1_00112,2.303284403914527,163,70.76850766799566
chr1,2073332,2073495,chr1_1_00113,2.303284403914527,163,70.76850766799566
chr1,2104200,2104358,chr1_1_00114,2.442808589754313,158,64.67964811597906
chr1,2104387,2104560,chr1_1_00114,2.6266560490285267,173,65.86321039786856
chr1,2104667,2104829,chr1_1_00114,1.9401439375738576,162,83.49895946513142
chr1,2189876,2190042,chr1_1_00116,2.473715037493247,166,67.10554671172514
chr1,2207458,2207635,chr1_0_00119,2.397059612296362,177,73.84046649988632
chr1,2208176,2208329,chr1_0_00119,2.4074133558024227,153,63.553689120829475
chr1,2211960,2212132,chr1_0_00120,2.1934128611703105,172,78.4166095881412
chr1,2352236,2352389,chr1_0_00122,2.3987996411636985,153,63.78190048660217
chr1,2352680,2352840,chr1_0_00122,2.1276809439024897,160,75.1992447262961
chr1,2412369,2412527,chr1_0_00125,1.162376148564546,158,135.92846015906215
chr1,2466463,2466637,chr1_1_00127,2.165823080886891,174,80.33897206818393
chr1,2477308,2477475,chr1_1_00129,2.5861010446228923,7,2.706777453477556
chr1,2526849,2527038,chr1_0_00130,2.7471903123922385,189,68.7975635133264
chr1,2567094,2567251,chr1_1_00134,2.5502308374196248,157,61.56305448759132
chr1,2585854,2586018,chr1_1_00135,2.342142105570898,164,70.02137044115217
chr1,2585854,2586018,chr1_1_00136,2.342142105570898,164,70.02137044115217
chr1,2799737,2799905,chr1_0_00138,1.8222771214201712,38,20.85303028465019
chr1,3021621,3021790,chr1_1_00139,2.222574128832672,169,76.03795878284664
chr1,3022085,3022250,chr1_1_00139,2.50402854373634,165,65.89381754961879
chr1,3067688,3067864,chr1_0_00140,2.362219443047578,176,74.5062024267045
chr1,3560449,3560619,chr1_0_00144,2.541803415883003,170,66.88164747034274
chr1,3560584,3560758,chr1_0_00144,2.5845173165747983,174,67.32398304477148
chr1,3561026,3561194,chr1_0_00144,2.591297214224213,168,64.8323932421994
chr1,3561487,3561666,chr1_0_00144,2.6771408268397283,179,66.86237728155051
chr1,3611769,3611941,chr1_0_00145,2.256103963175194,172,76.23762149592201
chr1,3691220,3691393,chr1_1_00150,2.637738757971863,173,65.58647988818208
chr1,3691258,3691434,chr1_1_00150,2.599460362670584,176,67.70636033826055
chr1,3697452,3697605,chr1_1_00151,2.509654453521218,153,60.964568164087474
chr1,3697826,3697986,chr1_1_00151,2.44903441242168,160,65.33187087468775
chr1,3771627,3771791,chr1_1_00155,2.5243686454583893,43,17.033962166089182
chr1,3773240,3773390,chr1_1_00155,2.5778450680386022,150,58.188136230440755
chr1,3795866,3796045,chr1_0_00156,2.217284120157616,179,80.72939249088013
chr1,3797460,3797614,chr1_0_00156,1.805282613796903,38,21.049335826747765
chr1,3856362,3856518,chr1_0_00157,1.4569720495105418,156,107.07137453488346
chr1,3856362,3856518,chr1_1_00158,1.4569720495105418,156,107.07137453488346
chr1,3856362,3856518,chr1_1_00159,1.4569720495105418,43,29.513263493589672
chr1,3856580,3856752,chr1_0_00157,2.558125040061073,172,67.23674461037825
chr1,3856580,3856752,chr1_1_00158,2.558125040061073,172,67.23674461037825
chr1,3856580,3856752,chr1_1_00159,2.558125040061073,172,67.23674461037825
chr1,3856585,3856746,chr1_0_00157,2.554565696546826,161,63.02441163193973
chr1,3856585,3856746,chr1_1_00158,2.554565696546826,161,63.02441163193973
chr1,3856585,3856746,chr1_1_00159,2.554565696546826,161,63.02441163193973
chr1,4411608,4411783,chr1_1_00164,1.702986420470888,175,102.76065498608688
chr1,4571339,4571508,chr1_1_00165,1.76211546738342,169,95.90744938579394
chr1,4571409,4571574,chr1_1_00165,1.8171951194440412,165,90.7992753417039
chr1,5993637,5993795,chr1_1_00169,2.556151425028951,39,15.257312073973976
chr1,6026336,6026525,chr1_1_00170,2.716157835445264,189,69.58358514133143
chr1,6034234,6034403,chr1_1_00171,2.534910301131593,169,66.6690256947387
chr1,6034413,6034590,chr1_1_00171,2.59222263390382,177,68.28117218212951
chr1,6034446,6034605,chr1_1_00171,2.572074329120692,159,61.8178091510897
chr1,6035117,6035294,chr1_1_00171,2.599909045312789,177,68.07930466610055
chr1,6035408,6035569,chr1_1_00171,2.299664045076652,161,70.01022620877372
chr1,6044796,6044951,chr1_1_00172,2.3762855513556747,64,26.932790111646263
chr1,6046011,6046176,chr1_1_00172,1.836544069387036,165,89.84265760367532
chr1,6046337,6046503,chr1_1_00172,2.3812019750347595,166,69.71269205233077
chr1,6179237,6179402,chr1_0_00173,2.131758314864428,82,38.465898984995825
chr1,6181231,6181404,chr1_0_00173,2.338335986980113,90,38.48890856622882
chr1,6204819,6204974,chr1_0_00175,1.852454025534021,155,83.67279180130636
chr1,6205250,6205404,chr1_0_00175,2.5752114938947304,154,59.800913581311946
chr1,6205250,6205404,chr1_1_00176,2.5752114938947304,154,59.800913581311946
chr1,6236137,6236309,chr1_0_00177,2.56210532331987,172,67.13229094623227
chr1,6236137,6236309,chr1_1_00178,2.56210532331987,172,67.13229094623227
chr1,6245093,6245249,chr1_1_00179,1.5175625834200184,86,56.669821027208094
chr1,6260808,6260971,chr1_0_00180,0.7222912782245245,163,225.67072995907253
chr1,6261726,6261895,chr1_0_00180,2.5473206271939084,169,66.34421996031492
chr1,6358427,6358585,chr1_0_00181,2.5794715107360666,158,61.2528571617811
chr1,6360584,6360744,chr1_0_00182,2.1879176923778862,160,73.12889353991548
chr1,6385436,6385594,chr1_0_00183,2.5794715107360666,158,61.2528571617811
chr1,6386747,6386914,chr1_0_00183,1.7366695716719127,21,12.092110291183975
chr1,6393918,6394114,chr1_0_00184,2.9685737575055646,196,66.02497226300856
chr1,6420141,6420314,chr1_0_00185,2.462793807622764,173,70.24542593234388
chr1,6425117,6425295,chr1_1_00186,1.7472150463078056,178,101.8764120513657
chr1,6430202,6430383,chr1_0_00187,2.676006881996546,181,67.63809212065905
chr1,6466165,6466323,chr1_0_00188,1.4371396258116511,158,109.94060504786832
chr1,6466165,6466323,chr1_0_00189,1.4371396258116511,158,109.94060504786832
chr1,6485377,6485533,chr1_0_00190,1.4313701295624013,156,108.98648559034297
chr1,6485377,6485533,chr1_0_00191,1.4313701295624013,156,108.98648559034297
chr1,6489925,6490089,chr1_0_00192,2.137064973792583,164,76.74076455848429
chr1,6492472,6492641,chr1_0_00193,2.3567876920171065,169,71.70777434574846
chr1,6497829,6497983,chr1_0_00194,1.8503637099603376,154,83.22688084025437
chr1,6497829,6497983,chr1_0_00195,1.8503637099603376,154,83.22688084025437
chr1,6498147,6498299,chr1_0_00194,2.586575325829903,84,32.47537358033391
chr1,6498147,6498299,chr1_0_00195,2.586575325829903,152,58.764961716794694
chr1,6498162,6498337,chr1_0_00194,2.6796426810982688,69,25.74970181163106
chr1,6498162,6498337,chr1_0_00195,2.6796426810982688,175,65.307214739644
chr1,6498351,6498518,chr1_0_00195,2.3056598206593435,61,26.45663486583029
chr1,6520178,6520349,chr1_0_00196,2.1010008124001627,171,81.38978290286869
chr1,6553964,6554122,chr1_0_00197,2.3327913884075446,158,67.73001683097648
chr1,6555184,6555351,chr1_1_00198,2.490000969562725,167,67.06824697715972
chr1,6555184,6555351,chr1_0_00197,2.490000969562725,167,67.06824697715972
chr1,6555674,6555861,chr1_1_00198,1.7607696897666387,187,106.20355466522359
chr1,6578973,6579131,chr1_1_00199,1.8929177259338104,138,72.90332702226776
chr1,6579010,6579169,chr1_1_00199,1.8881226604674024,159,84.2106306592601
chr1,6602365,6602522,chr1_0_00200,2.30355402721928,157,68.15555361187752
chr1,6624537,6624723,chr1_1_00202,2.030124053480717,186,91.62001685616042
chr1,6624537,6624723,chr1_1_00203,2.030124053480717,186,91.62001685616042
chr1,6724279,6724447,chr1_1_00205,1.8222771214201712,168,92.1923444163482
chr1,6725692,6725848,chr1_1_00205,2.018245987772058,53,26.260426291498145
chr1,6728382,6728558,chr1_1_00206,2.175269032764795,145,66.65842147152857
chr1,6784103,6784288,chr1_0_00207,1.76981885044942,185,104.53047211754013
chr1,7389948,7390101,chr1_0_00210,2.2997100427974515,153,66.53012647363369
chr1,7390072,7390229,chr1_0_00210,2.556898946722049,157,61.402504858971604
chr1,7669039,7669232,chr1_1_00211,2.826269465770304,193,68.28789764651742
chr1,7669039,7669232,chr1_1_00212,2.826269465770304,193,68.28789764651742
chr1,7669039,7669232,chr1_1_00213,2.826269465770304,193,68.28789764651742
chr1,7669261,7669434,chr1_1_00211,2.59880387713241,173,66.56908646407472
chr1,7669261,7669434,chr1_1_00212,2.59880387713241,173,66.56908646407472
chr1,7669261,7669434,chr1_1_00213,2.59880387713241,173,66.56908646407472
chr1,7670566,7670739,chr1_1_00211,2.575040084492977,164,63.68832896529121
chr1,7670566,7670739,chr1_1_00212,2.575040084492977,173,67.18342018899622
chr1,7670566,7670739,chr1_1_00213,2.575040084492977,173,67.18342018899622
chr1,7679021,7679185,chr1_1_00214,2.578394223614566,98,38.008152167908996
chr1,7679243,7679407,chr1_1_00214,2.4158815659555195,164,67.88412243012228
chr1,7939688,7939842,chr1_0_00221,1.491018039474564,4,2.6827307880256117
chr1,8025969,8026162,chr1_0_00224,0.0,193,0.0
chr1,8318754,8318933,chr1_1_00226,2.35849269142698,179,75.8959316052398
chr1,8422774,8422940,chr1_0_00227,1.6023160696267664,109,68.0265286395023
chr1,8425375,8425545,chr1_1_00228,2.261142805136897,170,75.18322134001954
chr1,8494336,8494493,chr1_0_00229,1.679337702114044,157,93.48923674038856
chr1,8867274,8867430,chr1_0_00231,1.7303152813282727,156,90.1569798772435
chr1,8877602,8877758,chr1_0_00232,2.018245987772058,73,36.17002111847857
chr1,8946096,8946248,chr1_1_00234,1.9048352586552009,152,79.79692695698569
chr1,9025966,9026132,chr1_0_00235,2.507685170754029,166,66.19650741487852
chr1,9070228,9070432,chr1_0_00236,2.27287880095114,204,89.75401588269087
chr1,9072068,9072241,chr1_0_00237,2.106154423237524,173,82.14022585013925
chr1,9181675,9181834,chr1_1_00240,2.106265806056811,159,75.48904774638467
chr1,9181675,9181834,chr1_0_00241,2.106265806056811,159,75.48904774638467
chr1,9181995,9182183,chr1_1_00240,2.544399840796671,188,73.88775812104114
chr1,9181995,9182183,chr1_0_00241,2.544399840796671,188,73.88775812104114
chr1,9427993,9428156,chr1_0_00245,1.661565848371625,163,98.10023488370562
chr1,9427993,9428156,chr1_0_00246,1.661565848371625,161,96.89655102010187
chr1,9652155,9652308,chr1_1_00249,1.9391296851762436,153,78.90137579225092
chr1,9655102,9655280,chr1_0_00250,2.005395176894052,178,88.76056053734291
chr1,9687280,9687447,chr1_0_00251,2.490000969562725,167,67.06824697715972
chr1,9687982,9688149,chr1_0_00251,2.5350833484212933,167,65.87554610541628
chr1,9825493,9825654,chr1_0_00255,2.5346794985347936,33,13.01939752898783
chr1,9943825,9943991,chr1_1_00257,1.741640532859026,98,56.268786900087854
chr1,9943825,9943991,chr1_0_00258,1.741640532859026,166,95.31243495321004
chr1,9943825,9943991,chr1_1_00259,1.741640532859026,166,95.31243495321004
chr1,9960675,9960848,chr1_0_00260,2.2800115773941445,173,75.87680769486443
chr1,9961005,9961184,chr1_0_00260,1.70458869051683,179,105.01066972685788
chr1,9997067,9997238,chr1_1_00262,1.500760822359966,171,113.94220681420792
chr1,9998023,9998192,chr1_1_00262,2.273148676948468,169,74.34621488413589
chr1,10211180,10211333,chr1_1_00264,2.5542657812651943,153,59.8997963024095
chr1,10211180,10211333,chr1_1_00265,2.5542657812651943,153,59.8997963024095
chr1,10211180,10211333,chr1_1_00266,2.5542657812651943,153,59.8997963024095
chr1,10298177,10298337,chr1_1_00268,1.443806548443391,160,110.81817032378787
chr1,10299173,10299337,chr1_1_00268,1.340521236569878,164,122.34047139726242
chr1,10449620,10449786,chr1_1_00272,1.7858234258932442,166,92.95431877144802
chr1,10472024,10472222,chr1_0_00273,2.162250485124009,198,91.5712593717579
chr1,10475206,10475365,chr1_1_00274,2.585345142888119,159,61.50049266628256
chr1,10795754,10795925,chr1_0_00275,2.380376546783858,171,71.83737389407537
chr1,10982103,10982276,chr1_0_00277,2.1674546843395643,173,79.8171243209701
chr1,11012678,11012851,chr1_1_00278,2.2272386483838,173,77.67465786638436
chr1,11046974,11047129,chr1_0_00279,2.4577779717014376,155,63.06509448154044
chr1,11047345,11047505,chr1_0_00279,2.1276809439024897,160,75.1992447262961
chr1,11262857,11263007,chr1_0_00286,2.0245379091826075,150,74.09098111704978
chr1,11653740,11653890,chr1_1_00290,2.4190674956436444,150,62.007364519644916
chr1,11653740,11653890,chr1_0_00291,2.4190674956436444,150,62.007364519644916
chr1,11653740,11653890,chr1_1_00292,2.4190674956436444,34,14.055002624452847
chr1,11653740,11653890,chr1_1_00293,2.4190674956436444,14,5.787354021833526
chr1,11663471,11663636,chr1_1_00294,1.7935051237975377,165,91.99862203383717
chr1,11690479,11690644,chr1_0_00296,1.781660550099759,24,13.47057945390113
chr1,11690928,11691088,chr1_0_00296,2.2828368718304213,160,70.08823187252491
chr1,11690928,11691088,chr1_1_00297,2.2828368718304213,160,70.08823187252491
chr1,11691415,11691585,chr1_0_00296,1.5045445712291468,170,112.99100289273416
chr1,11691415,11691585,chr1_1_00297,1.5045445712291468,170,112.99100289273416
chr1,11736295,11736486,chr1_1_00298,2.7086165314885853,191,70.51570341521594
chr1,11736295,11736486,chr1_1_00299,2.7086165314885853,191,70.51570341521594
chr1,11761204,11761375,chr1_1_00300,1.48321052177881,171,115.2904442687746
chr1,11761340,11761507,chr1_1_00300,2.357407391252222,167,70.84053465671536
chr1,11762430,11762597,chr1_1_00300,2.586650594316087,167,64.56225683011314
chr1,11762701,11762865,chr1_1_00300,1.895192571428005,164,86.53474188980593
chr1,11779443,11779603,chr1_0_00301,2.0357714162950864,160,78.59428554664798
chr1,11779821,11779997,chr1_0_00301,2.182158505276808,176,80.65408611446138
chr1,11804626,11804797,chr1_0_00302,1.7874573618904712,51,28.532149122740915
chr1,11840060,11840228,chr1_1_00306,2.3274369446629737,168,72.1824066534818
chr1,11847037,11847210,chr1_0_00307,2.550263537540782,173,67.83612652315291
chr1,11857852,11858009,chr1_0_00308,1.7787212647171216,65,36.5431061568476
chr1,11858551,11858725,chr1_0_00308,2.0922268832012976,174,83.16497670356102
chr1,11909014,11909180,chr1_1_00309,1.9607519155389836,140,71.40117976705683
chr1,12064098,12064281,chr1_1_00316,2.584792175445564,183,70.79872870957396
chr1,12064098,12064281,chr1_1_00317,2.584792175445564,183,70.79872870957396
chr1,12192570,12192729,chr1_1_00320,2.5662567480785383,143,55.72318518288163
chr1,12230952,12231142,chr1_1_00321,2.014717942156853,78,38.715096722917565
chr1,12579449,12579619,chr1_0_00323,2.015076770772554,170,84.36403141842791
chr1,12580000,12580179,chr1_0_00323,1.70458869051683,23,13.492991082221963
chr1,12618014,12618195,chr1_0_00326,2.5147843190012136,181,71.97436322168853
chr1,12745824,12745992,chr1_1_00329,1.3936705119545334,168,120.54499148754377
chr1,12747118,12747281,chr1_1_00329,1.926546282278176,82,42.563213120960434
chr1,12847858,12848032,chr1_0_00335,1.8727687056420548,174,92.91056577130614
chr1,12848389,12848561,chr1_0_00335,1.222000187315912,172,140.75284258163086
chr1,12848609,12848792,chr1_0_00335,1.8260454885618376,183,100.2165614965746
chr1,12857028,12857198,chr1_1_00336,1.9602342497864127,170,86.72432900227267
chr1,12898624,12898792,chr1_0_00338,1.8222771214201712,168,92.1923444163482
chr1,12915994,12916159,chr1_1_00339,1.7500326061231084,165,94.283957580384
chr1,13169923,13170097,chr1_1_00351,1.6849617223442956,174,103.2664408292391
chr1,13347088,13347254,chr1_0_00360,1.7958268996476374,166,92.4365260552513
chr1,13347344,13347516,chr1_0_00360,1.1582219883662404,172,148.50348355294048
chr1,13372646,13372820,chr1_0_00361,1.9593159535752431,174,88.80650396506758
chr1,13389127,13389299,chr1_1_00362,2.1934128611703105,172,78.4166095881412
chr1,13390529,13390694,chr1_1_00362,1.6378452511785702,103,62.88750413134737
chr1,13410453,13410616,chr1_1_00363,1.8287661469918963,163,89.13113372538949
chr1,13583847,13584026,chr1_1_00365,2.4850780376300854,179,72.02993116896432
chr1,13583847,13584026,chr1_1_00366,2.4850780376300854,179,72.02993116896432
chr1,13705606,13705757,chr1_1_00369,2.144502691291497,151,70.41259524326469
chr1,14420145,14420324,chr1_0_00371,1.7801321997365631,179,100.55432963152384
chr1,14598319,14598484,chr1_1_00372,2.2071593526884783,165,74.75672284333172
chr1,14598319,14598484,chr1_1_00373,2.2071593526884783,165,74.75672284333172
chr1,14929260,14929422,chr1_1_00375,1.3448899042610567,162,120.45595664502376
chr1,14929260,14929422,chr1_1_00376,1.3448899042610567,162,120.45595664502376
chr1,15151941,15152108,chr1_0_00378,1.80253711698938,167,92.64719068804834
chr1,15151941,15152108,chr1_1_00379,1.80253711698938,167,92.64719068804834
chr1,15151941,15152108,chr1_1_00380,1.80253711698938,167,92.64719068804834
chr1,15153985,15154153,chr1_1_00381,1.5451451426420506,168,108.72764982630437
chr1,15171639,15171813,chr1_0_00382,1.837224612156083,174,94.70807153829794
chr1,15246214,15246386,chr1_1_00383,1.8138186582179672,162,89.31433099225094
chr1,15246720,15246879,chr1_1_00383,1.7799279375517916,159,89.32945915703596
chr1,15246732,15246904,chr1_1_00383,1.763899871478452,172,97.51120388473886
chr1,15344068,15344239,chr1_0_00384,1.9505209456496004,171,87.66888680759604
chr1,15344701,15344889,chr1_0_00384,1.9474635845569463,182,93.45489252955943
chr1,15409927,15410119,chr1_1_00385,0.0,192,0.0
chr1,15457446,15457597,chr1_1_00387,2.0214448132935527,151,74.69904644785962
chr1,15475769,15475942,chr1_1_00388,1.0349279635560429,173,167.1613929587591
chr1,15584411,15584570,chr1_0_00395,1.9214721594990636,159,82.7490521858261
chr1,15584531,15584717,chr1_0_00395,2.77521604461484,186,67.02180911677964
chr1,15659902,15660058,chr1_1_00397,1.8405058597559476,156,84.75930634672672
chr1,15736983,15737136,chr1_1_00399,2.596232090906121,153,58.931557211667034
chr1,15755720,15755889,chr1_1_00402,2.47576347252666,169,68.26177131837466
chr1,15757669,15757829,chr1_1_00403,2.3944368928109814,35,14.617215473535108
chr1,15765348,15765499,chr1_1_00404,1.8117896375150937,151,83.34300896383289
chr1,15846781,15846948,chr1_1_00406,1.9415187730484669,167,86.01513532510721
chr1,15848258,15848416,chr1_1_00406,1.357297796763372,158,116.40776281871865
chr1,15848258,15848416,chr1_0_00407,1.357297796763372,158,116.40776281871865
chr1,15976072,15976249,chr1_0_00408,2.5377569269986,177,69.74663259390155
chr1,15976072,15976249,chr1_0_00409,2.5377569269986,177,69.74663259390155
chr1,16004714,16004878,chr1_1_00410,1.7816302037157874,164,92.05052746521686
chr1,16021476,16021646,chr1_1_00413,2.541803415883003,170,66.88164747034274
chr1,16021544,16021717,chr1_1_00413,2.5764050749178065,173,67.14782612571865
chr1,16044045,16044216,chr1_1_00414,2.564738327420126,171,66.67346846725262
chr1,16155505,16155661,chr1_0_00417,2.232415847355916,156,69.87945376967608
chr1,16352208,16352369,chr1_0_00420,1.7085731354089877,161,94.23067509572004
chr1,16368129,16368298,chr1_1_00421,1.6683866709123027,113,67.73010236182817
chr1,16462178,16462340,chr1_1_00426,2.099502480755096,162,77.1611376909333
chr1,16492858,16493011,chr1_0_00427,1.7921008956281614,153,85.37465740530804
chr1,16612395,16612566,chr1_0_00431,1.1411691108389403,3,2.6288829337437325
chr1,16612948,16613149,chr1_0_00431,2.9869989838956585,201,67.2916198109498
chr1,16630129,16630303,chr1_0_00432,2.5993613571915914,174,66.93951940102454
chr1,16631317,16631477,chr1_0_00432,2.199135586068493,160,72.75585962666366
chr1,16644442,16644598,chr1_1_00433,2.484305607227842,25,10.063174163140381
chr1,16645840,16645999,chr1_1_00433,2.175485399668109,159,73.08713725417645
chr1,16719113,16719288,chr1_0_00436,2.6039492422012214,132,50.69223234490361
chr1,16719581,16719741,chr1_0_00436,2.584836095722129,160,61.89947604987333
chr1,16764531,16764694,chr1_0_00438,2.2733415884463293,163,71.70061940027198
chr1,16859005,16859160,chr1_0_00439,1.7139235160024748,155,90.43577414791488
chr1,16922449,16922615,chr1_1_00444,2.335826977742737,166,71.06690760135697
chr1,16922455,16922615,chr1_1_00444,2.33327561997947,160,68.57312467929006
chr1,17011059,17011229,chr1_0_00448,2.5468449389978787,170,66.74925410531309
chr1,17190048,17190209,chr1_1_00451,2.4063475685557387,161,66.90637799120195
chr1,17204132,17204300,chr1_1_00452,1.2196344466292406,168,137.74619146278565
chr1,17204828,17204985,chr1_1_00452,2.5502308374196248,157,61.56305448759132
chr1,17205646,17205818,chr1_1_00452,1.7944823321233931,172,95.84936943707554
chr1,17249096,17249257,chr1_1_00453,2.4063475685557387,161,66.90637799120195
chr1,17307146,17307311,chr1_1_00455,2.5421324152739797,115,45.23761205712245
chr1,17308145,17308313,chr1_1_00455,2.566852815007948,168,65.4497986864431
chr1,17308656,17308829,chr1_1_00455,2.458745591021222,173,70.36108194022046
chr1,17539322,17539483,chr1_1_00459,2.033107174036472,161,79.18913575045592
chr1,17540088,17540250,chr1_1_00459,2.553467863975467,162,63.443132488765265
chr1,17580039,17580218,chr1_1_00460,2.58462132309828,179,69.25579325695037
chr1,17580131,17580285,chr1_1_00460,2.289296490932825,154,67.2695741289715
chr1,17754248,17754415,chr1_1_00462,1.505108549616736,83,55.145524235534566
chr1,17755716,17755894,chr1_1_00462,2.6128231913698032,178,68.12554350709104
chr1,18065920,18066124,chr1_1_00463,2.0600676202948627,204,99.02587565101429
chr1,18480364,18480537,chr1_1_00465,2.575040084492977,173,67.18342018899622
chr1,18481281,18481433,chr1_1_00465,2.586575325829903,152,58.764961716794694
chr1,18630402,18630558,chr1_1_00466,2.442504553147239,156,63.86886763383487
chr1,18630413,18630577,chr1_1_00466,2.5004529333350143,164,65.58811718213896
