Gene symbol,Normalized TPM of Artery - Aorta,Normalized TPM of Breast - Mammary Tissue,Normalized TPM of Colon - Transverse,Normalized TPM of Heart - Atrial Appendage,Normalized TPM of Kidney - Cortex,Normalized TPM of Liver,Normalized TPM of Lung,Normalized TPM of Ovary,Normalized TPM of Pancreas,Normalized TPM of Placenta,Normalized TPM of Stomach,Normalized TPM of Whole Blood,Specific high expression tissue,TSS ID
ARPP21,4.130061458333332,0.081678982570806,0.1775024581280787,0.0603294289044288,0.0853374823529412,0.2890925088495574,0.0731830692041523,0.0609989222222222,0.023481231707317,0.013,0.0918004345403899,0.1239035403973509,Artery - Aorta,chr3_1_07121
PPP2R2B,5.025024537037036,0.3948888888888888,1.456877413793103,0.5696231002331001,0.7507694117647056,0.0637013938053097,0.4102507266435989,0.1921315222222222,0.1036642926829268,0.539,0.4422338440111422,0.7170706145695364,Artery - Aorta,chr5_0_12031
FGF14,5.0296534722222175,0.5437094771241825,0.3149210221674879,0.5130637062937069,0.1260335882352941,0.2194009734513275,2.0835186851211094,0.1884183999999999,0.1437643292682927,0.009,0.6394352367688028,0.0073321350993377,Artery - Aorta,chr13_0_26516
LINC00310,5.126274537037034,0.7432039651416124,0.3284714532019703,0.3505702331002331,0.4859509411764707,0.217237256637168,0.7137316608996542,0.4903757222222221,0.0656610762195121,0.445,0.2978356545961001,0.1139003523178807,Artery - Aorta,chr21_1_37614
CPNE4,5.633989236111113,0.2805892440087145,0.4280944581280789,0.8442603030303035,0.2112727058823527,0.0105605044247787,0.1297389878892734,0.0645109111111111,0.1178167103658537,0.035,0.5754792479108635,0.0576807814569536,Artery - Aorta,chr3_0_08297
UNC13A,5.953715324074073,0.1641676993464051,0.5390748768472903,0.0937630512820513,0.4705207058823532,0.0494870221238938,0.5163273356401382,0.5426747777777781,1.1410732317073158,0.0409999999999999,0.7270131476323111,0.0390370807947019,Artery - Aorta,chr19_0_34635
GAD1,6.84141111111111,0.2757744989106752,0.1166928399014778,0.0448764265734266,2.538427058823529,0.0571129601769911,0.3646064186851213,0.6548382777777779,0.165421893292683,0.547,0.104117200557103,0.0863358,Artery - Aorta,chr2_1_05855
SPRED3,7.620565972222224,1.014437886710239,0.6305986945812808,0.5977671561771566,0.9949744705882354,0.2000584778761061,1.3035826989619386,0.6393188888888887,0.4061898475609758,0.455,0.6919458774373254,0.0977538238410596,Artery - Aorta,chr19_1_35067
C1QTNF8,8.108391203703706,0.0145979956427015,0.0304431280788177,0.0917507226107225,0.0736425529411764,0.0098145929203539,0.4142878200692041,0.0589303333333333,0.0225504481707317,0.001,0.0183340389972144,0.0529612052980132,Artery - Aorta,chr16_0_29487
LINC00670,8.156693287037031,0.1717386514161221,0.1866804605911331,0.2873124708624709,0.0366816235294117,0.0283929380530973,1.0479370242214536,0.2964825555555556,0.0082886219512195,0.39,0.1177416295264623,0.0019481271523178,Artery - Aorta,chr17_1_31462
OCA2,8.560930787037035,0.6285541830065355,0.230563342364532,0.3211303962703961,0.2636342470588235,0.0715450486725663,1.3471623702422126,0.8094556111111108,0.0528969054878048,1.463,0.2270619220055711,0.0268254437086092,Artery - Aorta,chr15_0_28165
IGFBPL1,8.909090972222227,0.1023261220043573,0.2618093349753694,1.2628052680652688,0.0979049411764706,0.0453617699115044,0.3858006920415227,0.1914316666666667,0.1308607926829268,0.396,0.5720217548746517,0.0051709536423841,Artery - Aorta,chr9_0_18539
PLD5,11.664443287037036,0.344188189542484,0.1600526502463053,0.0824843892773893,0.1600469647058823,0.0285021769911504,0.2301411782006922,1.2099960000000003,0.0915271798780487,0.31,0.2797350919220055,0.0081561854304635,Artery - Aorta,chr1_0_03944
IL17B,11.769541666666672,2.9916833333333352,2.0473800246305416,0.6808668764568772,0.7102560000000001,0.0397481415929203,0.7637220069204144,0.9367833888888892,0.0381316463414634,0.397,0.8658281058495819,0.1005931390728477,Artery - Aorta,chr5_0_12075
SHC4,11.788136574074072,0.7719986056644877,1.893959532019705,2.0683139860139845,0.1709868235294118,0.0619335309734513,0.2832931141868509,0.5166389999999998,0.0891845884146341,0.192,0.8385681615598884,0.0173078622516556,Artery - Aorta,chr15_0_28535
LINC01615,12.483032175925924,0.6622630718954252,0.1232783004926108,0.5524661538461536,0.0903328235294117,0.0262224778761062,0.5930621972318336,0.6442075000000003,0.0277712804878048,0.127,0.1518335376044567,0.0114724238410596,Artery - Aorta,chr6_0_14621
HTR1B,12.4868148148148,0.6230857298474947,0.3373810344827585,0.0472699067599067,0.2734455294117647,0.0295005398230088,1.0180413840830442,0.9712914444444444,0.0717729664634146,3.153,1.6508202228412252,0.0120581721854304,Artery - Aorta,chr6_0_13788
FOXCUT,17.124296759259252,0.3245240305010892,0.0370999507389162,0.1077210256410255,5.2957658823529385,0.0061863274336283,0.0897172145328719,0.1046993888888888,0.0333487195121951,0.0139999999999999,0.0345274373259053,0.0104948741721854,Artery - Aorta,chr6_1_12542
ZNF385D,18.724861111111128,4.615293681917211,1.1428214778325128,0.5384888578088572,0.7004470588235294,0.0802469469026548,1.2460363494809683,0.7201916666666666,0.1795461280487804,0.017,0.7525313091922006,0.0710280344370861,Artery - Aorta,chr3_0_07025
NTF3,19.759187500000007,2.5400128976034826,1.4742123152709352,1.3689892773892771,1.5287482352941175,2.3696389380530967,1.6946476470588232,9.389550000000003,0.0913378658536586,0.506,1.8165626740947087,0.0161092,Artery - Aorta,chr12_1_23921
CHSY3,19.82688657407408,5.521086056644875,0.9147416256157632,1.3356172494172496,0.3697207882352941,1.329576017699115,2.76094930795848,0.9316357777777772,0.2331949085365854,1.412,0.7161980501392764,0.0377456105960265,Artery - Aorta,chr5_1_11672
GRIA2,22.24974935185185,1.237018566448802,0.180845908866995,0.0441562331002331,0.1042649647058823,0.0212548407079646,0.089784543252595,0.9888093333333332,0.4228402743902439,0.034,1.4717263788300845,0.0329530794701986,Artery - Aorta,chr4_1_10433
RGS4,24.760011574074067,0.9273132244008728,2.658431502463053,2.5156205128205107,1.1657847058823527,0.6722813716814153,1.4464803287197232,2.4550310000000013,0.9417804878048784,0.0969999999999999,7.909120612813371,0.0494154198675496,Artery - Aorta,chr1_1_02899
GDF7,25.72061342592592,0.2110470457516339,0.8988954433497538,0.4340241724941725,3.7819847058823526,3.740737168141592,0.8685069723183392,0.8624377777777782,0.5580055182926831,1.061,1.0681233983286915,0.1553416092715231,Artery - Aorta,chr2_1_04267
TPH1,28.37296712962961,1.3859135729847492,2.356810467980295,0.332122293706294,0.3896284705882353,0.1485213274336283,0.9047996539792388,1.5805263333333333,0.3935802439024391,0.11,3.9598775487465168,0.101102455629139,Artery - Aorta,chr11_0_21951
CNTN4,28.832250000000005,2.417113398692809,2.9111189655172427,1.3152360606060602,1.0431183529411767,0.5332776991150441,3.0484292387543297,1.3335213333333331,0.6515513109756097,2.821,1.7389779944289705,0.0160694635761589,Artery - Aorta,chr3_1_06785
FOXL1,29.70682638888887,1.463949302832246,3.154869679802957,2.22547529137529,1.369076470588235,0.1827515663716813,3.1087548442906567,1.1436452222222222,0.0969210731707316,0.047,1.917180222841224,0.0120948874172185,Artery - Aorta,chr16_1_30911
PCDH10,31.79556180555557,0.2523480806100217,0.4776669211822661,0.9639462937062938,1.5112470588235294,0.0201272920353982,0.5982076470588239,2.09154,0.070502743902439,6.374,0.6056743398328693,0.0140724225165562,Artery - Aorta,chr4_1_10237
ACAN,35.01378009259259,0.2760617342047931,0.2163705566502465,0.270970268065268,0.5097207058823534,0.0203911415929203,1.4095410553633223,0.6230621666666668,0.0908066981707316,0.3779999999999999,0.2371403844011142,0.012508574834437,Artery - Aorta,chr15_1_29211
NOX4,39.56450462962965,3.7996178649237473,0.7513071034482759,4.105575757575756,17.275847058823533,0.056922738938053,1.7695918685121108,0.9517700000000002,0.1411965640243901,1.5659999999999998,0.4250742618384401,0.0189666503311258,Artery - Aorta,chr11_0_23198
HMCN1,42.76128009259261,4.145399346405226,2.897012315270933,2.5459214452214454,0.5587620000000001,1.0491421238938052,13.539246885813144,2.9214477777777783,0.2033054878048782,4.115,0.8628721448467963,0.0270443854304636,Artery - Aorta,chr1_1_03208
PIANP,44.941800231481466,1.471549359477123,5.248458620689656,0.616530093240093,0.8559659999999998,0.1147388982300885,1.6882152249134943,6.239915333333334,0.3962836585365853,0.019,2.82842311977716,0.366961614569536,Artery - Aorta,chr12_0_23960
SCRG1,45.320175925925945,0.8458862309368202,3.9132750985221687,2.69722773892774,0.267174294117647,0.0972112477876106,0.8929460380622835,1.8047277777777773,0.205639469512195,0.034,4.994088941504178,0.2978384410596027,Artery - Aorta,chr4_0_10529
KRT16,46.57661782407405,23.09835108932461,0.3147060098522169,0.3060819347319345,0.8010921176470591,0.2379011460176991,0.4805808131487889,0.6094405555555557,0.4424559664634147,0.022,0.6764804456824509,0.2625262119205298,Artery - Aorta,chr17_0_32124
KCNK17,49.0676226851851,1.02409311546841,0.999008472906404,5.435467738927739,0.1423018823529411,2.5474067699115035,16.299415224913485,0.5433789999999997,2.7299582317073168,1.608,0.9562492479108636,0.1375413774834437,Artery - Aorta,chr6_0_13384
KCNK15,49.082814814814846,5.75456361655773,0.8382075615763545,1.7583002331002335,2.0427605882352937,0.3058610132743363,4.4935575778546735,4.497446111111109,1.306560365853659,0.054,3.587720334261838,0.0454713774834437,Artery - Aorta,chr20_1_36920
SLC14A1,51.8474199074074,1.2975703921568638,1.535514310344828,3.021218181818183,6.329476470588234,0.3631481415929201,3.950115657439442,0.3022646666666666,0.6058208231707322,0.917,1.1335922562674094,4.922907019867543,Artery - Aorta,chr18_1_33586
ST6GAL2,54.29327314814818,0.5635478758169931,0.9163678817733988,0.3584682354312353,0.218159,0.8712885840707962,0.9135027508650516,1.0936885444444435,0.0558480396341463,0.5770000000000001,0.6461299164345405,0.0186166052980132,Artery - Aorta,chr2_0_05300
GPR176,57.27208333333338,9.51488235294118,4.0744862068965535,3.061178321678318,3.4592058823529435,0.9187402654867256,12.247531141868508,3.1740538888888894,0.7834574390243905,1.186,2.63456601671309,0.0833194794701986,Artery - Aorta,chr15_0_28326
TMEM130,58.38077754629632,2.0689302810457537,2.7971785221674885,0.2867740256410254,3.2493741176470574,0.0854632079646016,8.0721162283737,1.3647772222222214,0.2858169512195123,0.048,1.6903978997214475,0.0802114569536423,Artery - Aorta,chr7_0_15719
CST6,59.22747453703713,1.7372977124183009,0.5192769950738911,2.310376643356641,2.505536,0.2308902654867257,32.73761764705879,1.3993756111111113,0.4416499085365857,4.362,0.8622961838440119,0.2913104768211919,Artery - Aorta,chr11_1_22803
PCDH7,59.6360694444445,2.0230962962962966,8.970093103448265,0.6147857109557111,0.567934,0.130601389380531,2.3112093079584786,2.1056288888888908,0.1392883414634145,0.047,10.089988857938712,0.0183878052980132,Artery - Aorta,chr4_1_09421
TBXA2R,68.70180555555564,3.381659477124185,3.7356118226600983,2.0475554778554783,5.893176470588232,4.157869026548672,9.177505190311416,4.335601666666668,0.6056963414634149,1.816,3.5397740947075222,1.8049291655629145,Artery - Aorta,chr19_0_34026
C5orf46,70.07701157407408,2.187681045751636,0.1091200492610837,2.310174242424244,0.0273361176470588,0.1146703539823008,0.5148459342560551,0.0509454444444444,0.145698262195122,0.5920000000000001,0.0392921448467966,0.023984940397351,Artery - Aorta,chr5_0_12049
FAM180A,70.32000462962964,5.647013289760348,3.142940418719214,1.7539599766899752,3.8688341176470575,5.067047345132743,5.084745484429061,5.032596666666663,0.3886588719512196,0.11,1.6327708077994425,0.0283229417218543,Artery - Aorta,chr7_0_16246
PRKG1,70.70956018518518,5.518988017429193,9.045706157635465,7.4674055944056,2.145142352941176,0.5530455752212389,14.048980968858116,6.548935555555551,0.765314024390244,7.099,4.742962116991643,0.0576151311258278,Artery - Aorta,chr10_1_20407
EXT1,73.6724537037037,13.080976034858391,12.315189655172407,8.200426573426576,6.377647058823531,15.40690265486727,26.79220761245676,12.665822222222223,4.488350609756097,9.71,9.76968802228413,5.379620662251654,Artery - Aorta,chr8_0_17778
FOXC2,87.90948379629633,3.58436797385621,0.9087958374384232,5.329353846153848,7.073296470588236,0.12075153539823,4.597060034602074,2.617341777777777,0.1066400030487804,0.043,0.7576383844011144,0.0740268397350992,Artery - Aorta,chr16_1_30909
RTN1,90.7286921296296,14.599235294117651,6.857062315270933,1.0320868531468537,1.7903270588235294,0.4196295575221236,9.951782006920416,1.6035997777777775,1.7852881097560969,1.659,3.616727019498607,3.639216000000001,Artery - Aorta,chr14_0_27226
FOXS1,91.31667129629628,5.080280610021789,2.35541948275862,8.321305361305358,3.811305882352941,0.5535303097345129,10.747462110726635,4.254532000000004,0.6759843597560976,3.439,1.6707435933147643,0.0383330105960264,Artery - Aorta,chr20_0_36664
KCNA5,92.17008796296297,2.682620827886712,4.723418965517238,38.73729603729603,1.4190135294117652,0.1934522743362831,6.358261072664366,5.467034999999997,0.6084367378048786,1.251,6.567748718662948,0.0390261602649006,Artery - Aorta,chr12_1_23919
CRISPLD1,99.6655,8.770845860566453,2.064937118226599,4.3181439393939405,0.5397197647058823,0.1952567699115044,2.1736634948096905,4.580742777777777,0.1892258353658535,2.74,1.0657494986072422,0.0337802582781457,Artery - Aorta,chr8_1_17432
PRRX2,102.00430555555565,22.539082788671013,3.75330418719212,8.899713752913751,1.3733788235294122,0.0978406637168141,9.344734948096878,2.839226666666668,0.6885371646341469,0.962,4.07145905292479,0.1220445430463576,Artery - Aorta,chr9_1_19476
SCUBE3,105.01348611111116,0.9695018300653592,3.706523546798031,0.729924778554779,3.7312858823529416,0.0882065309734512,1.835448615916956,1.5654100000000006,0.1188033749999999,0.207,2.3689947075208933,0.0929058251655628,Artery - Aorta,chr6_1_13303
NXPH3,108.23064351851856,6.862798910675379,10.497921921182272,3.474152214452215,0.6870338823529412,0.1373993849557521,7.111400865051903,13.522838888888886,0.3037318902439022,1.3159999999999998,6.610999916434535,0.0531954013245033,Artery - Aorta,chr17_1_32476
WWP2,119.20578703703698,22.641370370370392,18.47563793103447,6.802480186480187,18.92356470588236,6.794044247787608,26.305100346020733,25.442055555555548,10.96222865853658,16.865,18.13043732590529,23.534793377483464,Artery - Aorta,chr16_1_30675
LGR6,127.91484027777771,9.799176492374736,1.8901898522167504,12.481794638694634,1.0271216470588238,1.396534955752213,7.099136332179933,3.908516111111112,0.1412773719512195,0.346,0.9058599721448478,6.406772582781461,Artery - Aorta,chr1_1_03343
CDH13,134.06150694444457,8.086780174291935,2.8305472906403937,12.145659673659676,1.608214117647059,0.1871935398230088,15.051041522491348,2.9337050000000016,0.1008355457317073,1.156,1.303485793871866,0.1554942158940398,Artery - Aorta,chr16_1_30848
SOST,139.4238408101852,0.0850561503267974,0.0409538448275862,1.022404627039628,11.418871764705882,0.0190701415929203,0.754982794117647,0.0592022222222222,0.0283374603658536,0.011,0.038875487465181,0.0255461827814569,Artery - Aorta,chr17_0_32248
CARTPT,155.65166738425913,0.3020344008714599,7.410436379310343,0.1477010955710957,0.0805161176470588,0.0393646061946902,0.2159934256055363,0.2838534444444445,0.205835,0.004,17.83799270194985,0.0406294834437085,Artery - Aorta,chr5_1_11232
C12orf75,172.25780092592584,21.421252287581687,13.72861625615764,1.4044300699300691,57.512823529411776,1.180676991150443,14.399749134948092,12.971872222222226,12.990198170731707,8.761000000000001,27.845919220055716,7.612595231788082,Artery - Aorta,chr12_1_25345
ITGA11,173.4259907407409,4.763114814814822,2.6532620689655166,8.679270396270391,5.3627329411764695,0.4545562831858408,2.6312392733564,7.477613333333336,0.4948322256097562,0.575,1.7450317548746528,0.0539378185430463,Artery - Aorta,chr15_0_28820
FOXC1,183.8796064814816,19.05870588235293,3.2243605911330007,14.621713286713282,17.045599999999993,0.4039761725663717,7.483352595155702,11.066855555555556,2.0148100609756097,2.709,2.793476323119777,0.6749796344370858,Artery - Aorta,chr6_1_12543
SULF1,194.4277777777777,14.402544880174297,27.619448522167502,10.805832167832166,9.2778,0.6830356637168147,13.76813148788928,15.129349999999995,1.2981152439024377,1.651,5.267455431754875,0.2257954688741722,Artery - Aorta,chr8_1_17375
PMEPA1,198.0793981481484,32.014553376906306,24.50453694581281,16.508349650349647,12.252223529411769,1.8236592920354,29.86134948096884,20.38715,18.69134146341466,1.237,12.811128133704733,0.7429035231788083,Artery - Aorta,chr20_0_37133
MRAP2,203.9280638888889,1.8621177777777769,4.145784482758625,1.1492167599067593,2.201916470588236,0.1717778584070796,1.822111349480968,3.1419488888888902,2.430799390243904,0.1169999999999999,4.81191069637883,0.0971782119205298,Artery - Aorta,chr6_1_13833
ITGBL1,211.5685949074075,12.984770370370365,1.2574781034482756,11.55840372960372,1.979427176470588,1.4501192477876108,34.8858373702422,3.406681111111111,2.127769298780488,7.813,7.616204178272977,0.0623852185430463,Artery - Aorta,chr13_1_26513
ADRA2C,215.9349537037036,14.984334422657948,5.433254926108375,2.9242233100233084,28.986588235294118,0.4435884070796458,8.988209342560552,18.24710777777777,2.8088298780487806,1.756,3.845981169916434,0.0699401907284768,Artery - Aorta,chr4_1_09196
ITGA10,240.8091412037037,18.63616274509804,6.959678817733988,8.397553146853149,3.408710588235292,1.3453500000000007,37.02059688581318,8.455861111111114,1.2603378048780478,1.225,6.636666573816156,0.6311871271523182,Artery - Aorta,chr1_0_02206
ASPN,273.0361388888886,15.91265119825707,23.70621822660101,31.86797645687648,5.365461176470588,11.197855309734509,25.88291833910038,16.845519999999997,3.4686381097560983,0.64,21.17190891364902,0.0840540887417218,Artery - Aorta,chr9_0_18867
COL8A1,280.8575925925924,6.0240416122004365,7.067635221674875,20.795995337995357,4.600341176470587,0.3439436283185839,34.99961764705886,10.863159444444436,0.4540796341463416,1.449,4.861173816155987,0.1423861350993377,Artery - Aorta,chr3_1_07886
CPXM2,315.9476157407408,31.5598779956427,41.838317241379286,13.660524941724931,9.358598823529412,0.8905248672566372,11.825325086505195,21.552618333333346,1.6249820121951213,31.336,26.967344846796635,0.2001689443708609,Artery - Aorta,chr10_0_21345
FGL2,323.5385879629628,36.38421568627447,36.659354679803,17.48746853146854,15.765917647058822,3.197870353982299,24.2293321799308,9.687886666666664,1.5886527439024392,8.262,24.265735654596103,50.126152052980174,Artery - Aorta,chr7_0_15537
MYO1D,337.237199074074,29.53914814814814,73.91137438423642,9.327083916083923,23.96695294117648,7.764247787610617,50.589273356401385,39.330555555555584,13.896624999999988,14.271,24.111880222841226,1.051620715231789,Artery - Aorta,chr17_0_31812
TNFRSF11B,345.0971342592592,3.303763398692809,1.4880346305418728,2.660212144522145,19.842517647058816,5.444228318584074,21.40732006920416,0.8055746666666664,0.8415275000000001,0.718,0.7879984679665744,0.0949841841059602,Artery - Aorta,chr8_0_17781
CYTL1,346.578525462963,12.070313725490196,6.153064039408871,1.2470705594405596,0.8872117647058824,0.1614064601769911,8.914393546712803,3.44744911111111,0.7306963719512195,15.165,6.283349025069637,1.2574931523178805,Artery - Aorta,chr4_0_09216
